Andaman Islands,ii,1789,1796,
Anguilla,am,1650,9999,
Antigua,aq,1632,9999,
Bahamas,bf,1629,9999,
Barbados,bb,1625,9999,
Belize (British Hounuras),bh,1638,9999,
Bermuda,bm,1609,9999,
British Guiana (present day Guyana),gy,1620,9999,
British North Borneo,my,1762,1775,
British Virgin Islands,vb,1666,9999,
Canada - East (Lower Canada & Quebec),quc,1763,9999,
Canada - West (Upper Canada & Ontario),onc,1763,9999,
Canada - Cape Breton Island (part of Nova Scotia),nsc,1629,9999,
Canada - New Brunswick,nkc,1713,9999,
Canada - Newfoundland,nfc,1497,9999,
Canada - Northwest Territories,ntc,1670,9999,
Canada - Nova Scotia,nsc,1713,9999,
Canada - Prince Edward Island,pic,1763,9999,
Canada - Rupert's Land,mbc,1670,9999,
Cape Colony (Cape of 1795 Good Hope),sa,1795,9999,
Cayman Islands,cj,1670,9999,
Cuba,cu,1762,1763,
Dominica,dq,1763,9999,
Falkland Islands,fk,1766,1770,
Florida,flu,1763,1783,
Fort James/Gambia,gm,1661,9999,
Gibraltar,gi,1704,9999,
Gilbert and Ellice Islands,gb,1764,9999,
Gold Coast (present day Ghana),gh,1621,9999,
Grenada,gd,1609,9999,
Guadeloupe,gp,1759,1795,
India,ii,1757,9999,
India - Bengal,ii,1681,9999,
India - Bombay,ii,1661,9999,
India - Madras,ii,1640,9999,
India - Surat,ii,1612,9999,
Ireland,ie,1169,9999,
Jamaica,jm,1655,9999,
Maine,meu,1607,1691,
Malaya (part of present day Malaysia),my,1786,9999,
Montserrat,mj,1632,9999,
Nevis,am,1628,9999,
New Caledonia,nl,1698,1700,
New South Wales (now part of Australia),at,1770,9999,
Norfolk Island,nx,1788,9999,
Philippines,ph,1762,1764,
Pitcairn Island,pc,1790,9999,
Prince Edward Islands,sa,1776,9999,
Saint Eustatius,ca,1665,9999,
Saint Helena,xj,1658,9999,
Saint Kitts,am,1623,9999,
Saint Lucia,xk,1663,9999,
Saint Pierre (and Miquelon),xl,1702,9999,
Saint Vincent and the Grenadines,xm,1627,9999,
Senegal,sg,1765,9999,
Surinam (Dutch Guiana),sr,1650,9999,
Tangier,mr,1661,1684,
Trinidad,tr,1797,9999,
Turks and Caicos Islands,tc,1678,9999,
US - Connecticut,ctu,1636,1776,
US - Delaware,deu,1664,1776,
US - Georgia,gau,1733,1776,
US - Maryland,mdu,1632,1776,
US - Massachusetts,mau,1629,1776,
US - New Hampshire,nhu,1629,1776,
US - New Jersey,nju,1664,1776,
US - New York,nyu,1664,1776,
US - North Carolina,ncu,1729,1776,
US - Pennsylvania,pau,1664,1776,
US - Rhode Island,riu,1636,1776,
US - South Carolina,scu,1729,1776,
US - Virginia,vau,1607,1776,
